epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0251,1.23341,10.33,0.71472,3.70877,1.5949,0.46631,0.25,0.11719,0.07362,0,0,0,0,1.40696,10.8179,0.70675,3.23056,2.10537,0.00016124,0.00016124,0.00016124
2,15.4035,1.09462,9.65753,0.70404,3.05648,1.47545,0.75994,0.36905,0.3227,0.21325,0,0,0,0,1.35576,10.2408,0.70142,4.81505,2.03075,0.000324792,0.000324792,0.000324792
3,19.5143,1.09603,9.10713,0.69202,2.73633,1.45487,0.16884,0.68413,0.36277,0.17855,0,0,0,0,1.76486,9.60623,0.68187,2.69585,2.24095,0.000485042,0.000485042,0.000485042
4,23.7371,1.08535,8.70121,0.67728,2.50234,1.42829,0.38022,0.58765,0.46093,0.31286,0,0,0,0,1.3671,9.23315,0.57099,2.64037,1.9295,0.000539487,0.000539487,0.000539487
5,27.7716,1.05603,8.4584,0.66344,2.32104,1.39706,0.21613,0.72557,0.48786,0.25855,0,0,0,0,1.83538,8.99717,0.47578,2.16797,2.6411,0.000533982,0.000533982,0.000533982
6,31.7121,1.05566,8.3007,0.65922,2.18603,1.39329,0.37006,0.70094,0.52087,0.31233,0,0,0,0,1.64092,8.54043,0.41307,2.18179,2.16271,0.000528478,0.000528478,0.000528478
7,35.7398,1.06939,8.13881,0.65213,2.20373,1.40083,0.24529,0.82152,0.51892,0.34788,0,0,0,0,1.06897,8.74624,0.40335,2.00165,1.66158,0.000522974,0.000522974,0.000522974
8,39.9498,1.0718,7.82938,0.64662,2.06672,1.38248,0.35443,0.81171,0.63372,0.40013,0,0,0,0,1.31041,8.72084,0.34338,1.86044,1.93677,0.000517469,0.000517469,0.000517469
9,43.9924,1.05003,7.83074,0.62951,2.02421,1.40419,0.3593,0.6846,0.56254,0.35719,0,0,0,0,1.536,8.43827,0.36307,1.58132,2.18327,0.000511965,0.000511965,0.000511965
10,48.0431,1.00994,7.59103,0.61256,1.94042,1.36742,0.48748,0.74514,0.56635,0.35948,0,0,0,0,1.55469,8.16821,0.37856,1.49442,2.12774,0.00050646,0.00050646,0.00050646
11,52.169,0.98633,7.32091,0.61543,1.89582,1.34522,0.46284,0.78139,0.58836,0.40299,0,0,0,0,1.26586,8.24158,0.35979,1.33198,1.90287,0.000500956,0.000500956,0.000500956
12,56.2349,0.98051,7.38474,0.61683,1.82994,1.34562,0.49111,0.74961,0.56635,0.36206,0.61792,0.08333,0.04146,0.00415,1.36353,8.17801,0.32176,1.33123,1.97892,0.000495452,0.000495452,0.000495452
13,60.3915,0.94936,7.15513,0.60207,1.75015,1.31134,0.3067,0.80952,0.594,0.40717,0,0,0,0,1.19662,8.12308,0.31798,1.26493,1.80636,0.000489947,0.000489947,0.000489947
14,64.5529,0.93169,7.41265,0.5915,1.69539,1.28377,0.39484,0.95825,0.62728,0.39228,0.61986,0.08333,0.04146,0.00415,1.32703,8.01775,0.33981,1.25384,2.02376,0.000484443,0.000484443,0.000484443
15,68.5476,0.94716,7.05547,0.59842,1.68567,1.31386,0.49948,0.91261,0.72983,0.47464,0,0,0,0,1.15777,8.12987,0.34011,1.39729,1.78806,0.000478938,0.000478938,0.000478938
16,72.561,0.95387,6.86544,0.59069,1.66069,1.31394,0.41387,0.91373,0.65265,0.43718,0,0,0,0,1.20053,7.83871,0.30954,1.37828,1.7721,0.000473434,0.000473434,0.000473434
17,76.6543,0.93998,6.88138,0.57353,1.62756,1.28446,0.46287,0.72261,0.68135,0.48686,0,0,0,0,1.17599,8.08243,0.27959,1.19558,1.751,0.00046793,0.00046793,0.00046793
