epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.99937,1.23341,10.33,0.71472,3.70877,1.5949,0.46631,0.25,0.11719,0.07362,0,0,0,0,1.40696,10.8179,0.70675,3.23056,2.10537,0.00016124,0.00016124,0.00016124
2,11.2554,1.10061,9.65917,0.7042,3.05096,1.47607,0.75569,0.36905,0.32349,0.21221,0,0,0,0,1.39224,10.2204,0.70388,5.13238,2.06464,0.000325875,0.000325875,0.000325875
3,15.4779,1.09857,9.08033,0.69323,2.71781,1.44789,0.23197,0.72385,0.39563,0.20454,0,0,0,0,1.8615,9.51548,0.68623,2.47461,2.33579,0.000488308,0.000488308,0.000488308
4,19.704,1.11779,8.70927,0.67878,2.51557,1.44698,0.2475,0.69384,0.50129,0.33492,0,0,0,0,1.47999,9.01925,0.54186,2.54657,2.16741,0.000544991,0.000544991,0.000544991
5,23.799,1.06486,8.4635,0.664,2.3339,1.41406,0.44144,0.60344,0.5383,0.32095,0,0,0,0,1.67794,8.81911,0.4853,2.0615,2.43291,0.000541322,0.000541322,0.000541322
6,28.4588,1.05452,8.25809,0.65989,2.18185,1.38283,0.29332,0.83164,0.54818,0.35722,0,0,0,0,1.49845,8.64175,0.44855,1.68269,2.07355,0.000537652,0.000537652,0.000537652
7,32.6352,1.04,8.11017,0.65041,2.17903,1.3828,0.72492,0.48599,0.56989,0.3734,0,0,0,0,1.18137,8.84328,0.39928,1.84502,1.81525,0.000533982,0.000533982,0.000533982
8,36.7824,1.04001,7.79205,0.64476,2.04794,1.36719,0.36943,0.6888,0.59212,0.38969,0,0,0,0,1.33356,8.65067,0.36466,1.80889,1.89498,0.000530313,0.000530313,0.000530313
9,41.0205,1.03288,7.78465,0.62509,1.99,1.38459,0.38819,0.76757,0.55145,0.36555,0,0,0,0,1.33622,8.52835,0.35329,1.49106,1.92557,0.000526643,0.000526643,0.000526643
10,45.2026,1.00504,7.59364,0.61453,1.9374,1.3669,0.5049,0.79299,0.59209,0.39075,0,0,0,0,1.14697,8.26244,0.35283,1.4011,1.73281,0.000522974,0.000522974,0.000522974
11,49.3576,0.97353,7.33436,0.61811,1.87747,1.32911,0.55786,0.71014,0.64839,0.43876,0,0,0,0,1.23275,8.40451,0.30478,1.28821,1.82581,0.000519304,0.000519304,0.000519304
12,53.4613,0.99175,7.33977,0.61949,1.82242,1.35026,0.37682,0.66782,0.51128,0.31066,0,0,0,0,1.58045,8.21867,0.34743,1.59126,2.09679,0.000515634,0.000515634,0.000515634
13,57.6211,0.95817,7.15639,0.59898,1.76016,1.31816,0.43293,0.76463,0.57726,0.40225,0,0,0,0,1.26069,8.09378,0.30268,1.45594,1.89117,0.000511965,0.000511965,0.000511965
14,61.7343,0.93475,7.39941,0.58797,1.7025,1.28079,0.37311,0.77524,0.5861,0.36858,0,0,0,0,1.3202,7.98942,0.29087,1.46032,1.88305,0.000508295,0.000508295,0.000508295
15,65.8328,0.96155,7.07189,0.59766,1.7072,1.30865,0.41829,0.87103,0.73077,0.52809,0,0,0,0,1.231,7.80137,0.3006,1.19172,1.89164,0.000504626,0.000504626,0.000504626
16,70.1113,0.96066,6.9461,0.59636,1.68116,1.31935,0.3581,0.85115,0.64579,0.42599,0.86089,0.08333,0.08292,0.00829,1.2231,7.67389,0.32176,1.52968,1.79615,0.000500956,0.000500956,0.000500956
17,74.2441,0.92284,6.94267,0.57866,1.64886,1.27946,0.49634,0.78193,0.75746,0.51317,0,0,0,0,1.24335,7.95551,0.27423,1.2438,1.8206,0.000497286,0.000497286,0.000497286
18,78.5747,0.94584,6.86835,0.56114,1.63195,1.3094,0.39101,0.93016,0.65172,0.46275,0,0,0,0,1.35851,7.52064,0.27672,1.2772,2.00057,0.000493617,0.000493617,0.000493617
19,82.7683,0.92407,6.60873,0.57568,1.57421,1.29213,0.58435,0.78625,0.70082,0.47623,0,0,0,0,1.12915,7.62938,0.29274,1.18397,1.74303,0.000489947,0.000489947,0.000489947
20,86.9105,0.92961,6.54229,0.56292,1.60111,1.31666,0.49743,0.81087,0.77859,0.53403,0,0,0,0,1.25148,7.29038,0.26687,1.13035,1.9309,0.000486278,0.000486278,0.000486278
21,91.0625,0.91951,6.50434,0.55678,1.56508,1.28627,0.50372,0.94935,0.71993,0.51301,0.29273,0.06092,0.03558,0.00388,1.213,6.91069,0.27933,1.17253,1.85196,0.000482608,0.000482608,0.000482608
22,95.2344,0.91336,6.39247,0.54696,1.53673,1.27364,0.49335,0.69039,0.6801,0.48319,0.04096,0.1222,0.0926,0.01785,1.19734,6.7497,0.31827,1.13864,1.78407,0.000478938,0.000478938,0.000478938
23,99.3254,0.90272,6.30855,0.54129,1.53323,1.29231,0.36544,0.76974,0.62769,0.3848,0.09185,0.15987,0.15691,0.01616,1.63398,6.79834,0.27464,1.65836,2.36283,0.000475269,0.000475269,0.000475269
24,103.449,0.92859,6.07816,0.54444,1.5169,1.28055,0.5739,0.59999,0.57044,0.31152,0.21865,0.05147,0.03973,0.00415,1.49365,6.63167,0.29141,1.38803,2.02017,0.000471599,0.000471599,0.000471599
25,107.684,0.87667,6.2182,0.54164,1.4424,1.27104,0.37203,0.79126,0.59489,0.39836,0.14634,0.16982,0.0693,0.00694,1.38839,6.66696,0.26561,1.61923,1.96932,0.00046793,0.00046793,0.00046793
26,111.828,0.90067,6.05541,0.53153,1.43511,1.28573,0.60299,0.72523,0.78062,0.54187,0.20469,0.18318,0.18179,0.02392,1.40403,6.53588,0.24262,1.19032,2.09961,0.00046426,0.00046426,0.00046426
27,115.957,0.90713,6.2213,0.5434,1.47388,1.27594,0.46572,0.69944,0.62132,0.42118,0.36779,0.21639,0.13867,0.02394,1.31684,6.40547,0.27196,1.19731,1.90287,0.00046059,0.00046059,0.00046059
28,120.132,0.9078,5.84572,0.53087,1.40529,1.28042,0.44003,0.96487,0.73938,0.50545,0.32974,0.15246,0.11741,0.02067,1.37275,6.57865,0.25214,1.33263,1.93368,0.000456921,0.000456921,0.000456921
29,124.417,0.9033,5.99857,0.52179,1.45232,1.2863,0.46021,0.74269,0.67749,0.45208,0.50656,0.01282,0.00157,0.00016,1.50617,6.93391,0.24046,1.46392,2.02692,0.000453251,0.000453251,0.000453251
30,128.471,0.85769,5.83098,0.50606,1.39512,1.25146,0.59281,0.7194,0.74533,0.51838,0.15866,0.11786,0.0495,0.00917,1.34833,6.7481,0.22094,1.09674,1.93391,0.000449582,0.000449582,0.000449582
31,132.596,0.85107,5.81217,0.51067,1.38681,1.24512,0.50614,0.78751,0.73589,0.50907,0.3065,0.20381,0.14368,0.0162,1.43318,6.39085,0.22922,1.19513,2.09773,0.000445912,0.000445912,0.000445912
32,136.686,0.8949,5.88827,0.51489,1.38563,1.27228,0.40901,0.90819,0.70065,0.45385,0.20694,0.10165,0.09022,0.00902,1.27437,6.8032,0.19948,1.19751,1.88709,0.000442242,0.000442242,0.000442242
33,140.766,0.85176,5.77393,0.52105,1.34538,1.25414,0.42238,0.73273,0.65996,0.44658,0.18951,0.18312,0.11663,0.026,1.22423,6.3667,0.22984,1.38242,1.87446,0.000438573,0.000438573,0.000438573
34,144.99,0.86788,5.73206,0.50922,1.3187,1.24872,0.61011,0.79682,0.79624,0.5257,0.42528,0.12406,0.11187,0.01133,1.32493,6.52748,0.2539,1.14665,1.961,0.000434903,0.000434903,0.000434903
35,149.067,0.8771,5.71871,0.49322,1.35966,1.24789,0.43454,0.711,0.66321,0.43746,0.11488,0.20655,0.17966,0.05311,1.29457,6.28957,0.24716,1.19621,1.98811,0.000431234,0.000431234,0.000431234
36,153.235,0.84762,5.67575,0.49255,1.27685,1.22907,0.46636,0.8104,0.728,0.47787,0.55526,0.15472,0.18034,0.04647,1.33912,6.33159,0.1895,1.13288,2.02275,0.000427564,0.000427564,0.000427564
37,157.372,0.83155,5.62607,0.4917,1.26215,1.22488,0.47331,0.78407,0.74363,0.51484,0.10483,0.21429,0.17595,0.0474,1.28951,6.41746,0.23689,1.16666,1.90791,0.000423894,0.000423894,0.000423894
38,161.487,0.81284,5.46045,0.48701,1.25073,1.22109,0.55754,0.69859,0.72894,0.48451,0.80122,0.15016,0.18536,0.06079,1.23656,6.2306,0.26468,1.23584,1.89471,0.000420225,0.000420225,0.000420225
39,165.612,0.83582,5.56075,0.47839,1.29541,1.22376,0.43295,0.79932,0.70724,0.45536,0.77695,0.15441,0.16857,0.03115,1.21202,6.32633,0.21409,1.30299,1.8723,0.000416555,0.000416555,0.000416555
40,169.798,0.8584,5.40949,0.47516,1.27913,1.24419,0.38057,0.9224,0.63159,0.41963,0.18307,0.21183,0.13134,0.02246,1.20559,6.31968,0.18594,1.25254,1.87971,0.000412886,0.000412886,0.000412886
41,173.902,0.80214,5.2932,0.48457,1.19175,1.21474,0.48215,0.8028,0.62336,0.40881,0.18526,0.22619,0.13109,0.03447,1.3161,6.16424,0.23297,1.31194,2.02387,0.000409216,0.000409216,0.000409216
42,178.151,0.79529,5.47888,0.48816,1.21753,1.22326,0.52507,0.8114,0.69996,0.49501,0.36363,0.17857,0.13868,0.03444,1.17598,6.21042,0.19736,1.12893,1.85941,0.000405546,0.000405546,0.000405546
43,182.291,0.80339,5.35761,0.46889,1.18333,1.21977,0.47411,0.78639,0.64716,0.4191,0.36579,0.23564,0.13592,0.03271,1.27276,6.24251,0.2135,1.23073,1.97037,0.000401877,0.000401877,0.000401877
44,186.4,0.80946,5.44295,0.46869,1.20207,1.1911,0.41084,0.89752,0.69191,0.46115,0.53946,0.17612,0.11792,0.0418,1.31569,6.09502,0.21121,1.1237,1.97087,0.000398207,0.000398207,0.000398207
45,190.48,0.79499,5.5068,0.46693,1.21831,1.197,0.49629,0.82277,0.68965,0.45172,0.20389,0.17122,0.14151,0.0344,1.31793,6.10307,0.22856,1.20238,2.04228,0.000394538,0.000394538,0.000394538
46,194.713,0.7892,5.39581,0.45629,1.16993,1.19268,0.45664,0.8631,0.71942,0.46579,0.1177,0.19461,0.15849,0.03628,1.22909,6.10248,0.20325,1.25257,1.9189,0.000390868,0.000390868,0.000390868
47,198.799,0.77888,5.48227,0.44925,1.16897,1.19937,0.47374,0.84838,0.72067,0.47648,0.38859,0.15862,0.14095,0.04201,1.33492,6.09638,0.23318,1.36312,2.07105,0.000387198,0.000387198,0.000387198
