epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6766,1.13537,9.9428,0.71066,3.47688,1.54318,0.17671,0.71273,0.29166,0.15584,0,0,0,0,1.69982,10.5843,0.69365,3.79242,2.5029,0.00016124,0.00016124,0.00016124
2,25.2245,1.13451,8.95455,0.69851,2.71798,1.51846,0.3365,0.58273,0.41833,0.31096,0,0,0,0,1.38174,9.5882,0.68537,13.8018,2.28763,0.00032739,0.00032739,0.00032739
3,36.6317,1.15681,8.64714,0.69261,2.54728,1.53113,0.35575,0.5438,0.35686,0.2343,0,0,0,0,1.27808,9.34092,0.61461,7.9085,2.01626,0.00049288,0.00049288,0.00049288
4,47.8898,1.18866,8.36234,0.68101,2.38633,1.52806,0.65323,0.47633,0.42662,0.22401,0,0,0,0,1.77767,9.13232,0.49763,4.57055,2.61517,0.000552697,0.000552697,0.000552697
5,59.1894,1.16992,8.1907,0.66228,2.24202,1.50813,0.42925,0.53524,0.43724,0.24923,0,0,0,0,1.26762,9.58848,0.4251,1.9327,1.94608,0.000551596,0.000551596,0.000551596
6,70.5446,1.1682,8.07539,0.64551,2.12406,1.48348,0.446,0.57396,0.57699,0.36258,0,0,0,0,1.28337,8.62369,0.40863,2.01344,1.89784,0.000550496,0.000550496,0.000550496
7,82.1215,1.15098,7.92493,0.64439,2.11858,1.47531,0.44695,0.62325,0.53178,0.30358,0,0,0,0,1.87206,9.00877,0.36856,2.18949,2.86398,0.000549395,0.000549395,0.000549395
8,93.5886,1.14014,7.60268,0.63039,1.9962,1.46895,0.71352,0.46802,0.50904,0.30881,0,0,0,0,1.60647,8.03266,0.34756,1.63713,2.24613,0.000548294,0.000548294,0.000548294
9,105.09,1.11591,7.43551,0.62327,1.99961,1.46641,0.35577,0.83042,0.59772,0.44667,0,0,0,0,1.27844,7.73058,0.32714,1.90612,1.97001,0.000547193,0.000547193,0.000547193
10,116.521,1.11125,7.24855,0.60199,1.92117,1.46551,0.50727,0.7014,0.61247,0.40524,0,0,0,0,1.39259,7.85953,0.31673,1.37605,2.10767,0.000546092,0.000546092,0.000546092
11,127.771,1.06424,6.97102,0.6071,1.84074,1.41142,0.36799,0.69377,0.52817,0.35729,0,0,0,0,1.13914,7.51622,0.32563,1.50584,1.85822,0.000544991,0.000544991,0.000544991
12,139.037,1.08508,7.02778,0.60585,1.83381,1.43237,0.45813,0.71571,0.69194,0.47274,0,0,0,0,1.46508,7.48784,0.31128,1.46821,2.11327,0.00054389,0.00054389,0.00054389
13,150.402,1.04668,6.74245,0.5903,1.77993,1.37883,0.42535,0.73247,0.58943,0.35597,0,0,0,0,1.52697,7.44732,0.27676,1.66584,2.20018,0.000542789,0.000542789,0.000542789
14,161.697,1.06095,7.02576,0.58426,1.73495,1.36837,0.44526,0.78482,0.59404,0.38712,0.95159,0.08333,0.04146,0.00415,1.3998,7.15052,0.24989,1.53241,2.1516,0.000541689,0.000541689,0.000541689
15,173.004,1.04189,6.66447,0.57622,1.71933,1.39738,0.49628,0.74318,0.66023,0.44875,0,0,0,0,1.59563,7.37125,0.24741,1.33905,2.20106,0.000540588,0.000540588,0.000540588
16,184.343,1.05791,6.5294,0.58509,1.69217,1.39802,0.48373,0.69422,0.6013,0.38278,0,0,0,0,1.52626,7.26339,0.28451,1.42406,2.15668,0.000539487,0.000539487,0.000539487
17,195.629,1.04221,6.60547,0.57022,1.67694,1.38799,0.39407,0.73432,0.71737,0.43096,0,0,0,0,1.56624,7.57345,0.29244,1.4246,2.16589,0.000538386,0.000538386,0.000538386
18,206.935,1.02076,6.55712,0.56253,1.65013,1.37364,0.4247,0.78912,0.61183,0.4177,0.95784,0.08333,0.08379,0.00838,1.39229,7.08485,0.21736,1.31038,1.95307,0.000537285,0.000537285,0.000537285
