epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1733,0.37257,2.37992,0.32033,0.43632,0.97203,0.51503,0.67063,0.61627,0.42519,0.44375,0.47777,0.41547,0.23974,1.48416,3.53469,0.06771,1.39495,3.06924,0.00016124,0.00016124,0.00016124
2,25.6994,0.38376,2.40453,0.30862,0.47443,0.97224,0.69989,0.60782,0.57099,0.39296,0.66654,0.47493,0.39893,0.23914,1.46358,3.47153,0.08163,1.32651,3.0227,0.000326416,0.000326416,0.000326416
3,37.0758,0.41542,2.61163,0.3195,0.50362,0.98,0.53635,0.66051,0.58163,0.3889,0.44523,0.45882,0.35593,0.16832,1.49879,4.25268,0.05996,1.37461,3.06333,0.000489941,0.000489941,0.000489941
4,48.3178,0.45236,2.74358,0.32241,0.54404,1.00998,0.6845,0.57065,0.65472,0.43726,0.61977,0.45749,0.41297,0.23543,1.4572,4.09391,0.10393,1.24023,2.71039,0.000547743,0.000547743,0.000547743
5,59.6587,0.47558,2.88973,0.32061,0.55736,1.01972,0.45194,0.66023,0.63771,0.44134,0.73099,0.44877,0.45558,0.23702,1.38931,3.79342,0.04204,1.2884,2.53252,0.000544991,0.000544991,0.000544991
6,71.0061,0.49014,2.99962,0.32376,0.58932,1.02024,0.70888,0.64221,0.61141,0.42895,0.71434,0.45006,0.41503,0.22223,1.41638,3.79767,0.0972,1.33188,2.58964,0.000542239,0.000542239,0.000542239
7,82.2132,0.49398,2.98049,0.32136,0.61824,1.02913,0.53503,0.60195,0.54804,0.38012,0.35972,0.48415,0.38894,0.21123,1.39406,3.9783,0.06949,1.42715,2.39483,0.000539487,0.000539487,0.000539487
8,93.4533,0.51861,2.88434,0.31777,0.61178,1.03762,0.69824,0.57032,0.65592,0.43413,0.61052,0.36864,0.45863,0.24889,1.45535,4.03517,0.13722,1.3068,2.57446,0.000536735,0.000536735,0.000536735
9,104.864,0.512,2.92406,0.32135,0.61808,1.04398,0.43771,0.6453,0.58578,0.40016,0.38288,0.57649,0.50267,0.23167,1.37095,3.77283,0.07514,1.51688,2.43942,0.000533982,0.000533982,0.000533982
10,116.316,0.50329,2.96938,0.31515,0.5979,1.03754,0.62688,0.53091,0.57752,0.38846,0.57549,0.47364,0.45729,0.20541,1.4859,3.63058,0.06762,1.26877,2.65907,0.00053123,0.00053123,0.00053123
11,127.628,0.49766,3.05348,0.31957,0.63713,1.02756,0.51046,0.58749,0.63762,0.42261,0.44495,0.4793,0.51447,0.24605,1.55554,3.81706,0.08771,1.38957,2.86768,0.000528478,0.000528478,0.000528478
12,138.913,0.51568,3.01712,0.33213,0.63629,1.05541,0.49646,0.62435,0.64645,0.40113,0.42296,0.54001,0.55986,0.22671,1.39948,3.59566,0.10249,1.16712,2.45988,0.000525726,0.000525726,0.000525726
13,150.195,0.51469,2.96203,0.32187,0.63609,1.04365,0.59733,0.60749,0.55715,0.3939,0.64298,0.43902,0.40564,0.19853,1.20371,3.79187,0.08254,1.24202,2.12962,0.000522974,0.000522974,0.000522974
14,161.486,0.49589,3.08287,0.33189,0.58088,1.02099,0.49608,0.58679,0.59188,0.41285,0.56822,0.4669,0.46722,0.22487,1.44823,3.78498,0.05561,1.19932,2.68849,0.000520221,0.000520221,0.000520221
15,172.737,0.51417,2.89907,0.3315,0.61231,1.03555,0.58024,0.56234,0.50321,0.3463,0.63162,0.44679,0.35524,0.20547,1.24447,3.66103,0.07671,1.13615,2.26653,0.000517469,0.000517469,0.000517469
16,184.045,0.51918,2.86016,0.32149,0.61991,1.03736,0.7972,0.5338,0.58742,0.40329,0.73484,0.44612,0.3705,0.19494,1.5004,3.93801,0.0799,1.17172,2.92242,0.000514717,0.000514717,0.000514717
17,195.34,0.5132,2.89044,0.33172,0.6111,1.02723,0.52957,0.69813,0.57535,0.39006,0.62357,0.46647,0.35012,0.20277,1.45474,3.71636,0.08163,1.23093,2.52634,0.000511965,0.000511965,0.000511965
18,206.882,0.52633,2.97025,0.31177,0.61246,1.05088,0.67186,0.5496,0.5656,0.38221,0.74215,0.47599,0.48346,0.23861,1.39768,3.57895,0.06453,1.31637,2.75845,0.000509213,0.000509213,0.000509213
19,218.204,0.51077,2.79227,0.31902,0.59287,1.03717,0.56314,0.57128,0.60762,0.41906,0.59046,0.4615,0.51974,0.26065,1.30384,3.51463,0.04764,1.38488,2.51543,0.00050646,0.00050646,0.00050646
20,229.48,0.53719,2.88471,0.31824,0.61794,1.06438,0.58939,0.52849,0.65351,0.42139,0.63716,0.48146,0.5209,0.26095,1.48756,3.69262,0.12777,1.32095,2.77382,0.000503708,0.000503708,0.000503708
21,240.78,0.5215,3.02952,0.32659,0.64647,1.04441,0.76298,0.5128,0.58884,0.41065,0.70327,0.44818,0.40849,0.23162,1.46594,3.68879,0.07319,1.35542,2.78134,0.000500956,0.000500956,0.000500956
22,252.078,0.5009,2.87566,0.3213,0.62342,1.0305,0.66666,0.58026,0.55642,0.37075,0.74933,0.46077,0.44386,0.21544,1.49236,3.74186,0.08347,1.21358,2.80857,0.000498204,0.000498204,0.000498204
23,263.335,0.52097,2.92525,0.30734,0.6311,1.06291,0.59246,0.55799,0.58413,0.38253,0.49619,0.40131,0.3432,0.18678,1.23546,3.90423,0.06078,1.57762,2.24359,0.000495452,0.000495452,0.000495452
24,274.597,0.52097,2.89508,0.31205,0.61192,1.03783,0.58347,0.5618,0.48064,0.29785,0.68453,0.47903,0.40998,0.19538,1.37173,3.6091,0.11126,1.5666,2.59447,0.000492699,0.000492699,0.000492699
25,285.865,0.46939,2.93771,0.32739,0.58808,1.01945,0.49248,0.69647,0.7186,0.47207,0.41621,0.56846,0.50207,0.26265,1.496,3.75027,0.08018,1.38806,3.13507,0.000489947,0.000489947,0.000489947
26,297.374,0.48035,2.88082,0.32646,0.59379,1.02798,0.62525,0.59893,0.66447,0.43945,0.56789,0.42502,0.4285,0.20155,1.4918,3.84255,0.08659,1.24684,3.35872,0.000487195,0.000487195,0.000487195
